Recency,Frequency,Monetary,LIFESTAGE,PREMIUM_CUSTOMER
163,2,15.899999999999999,YOUNG FAMILIES,Budget
236,1,6.6,OLDER FAMILIES,Budget
82,1,6.6,OLDER FAMILIES,Budget
25,2,14.8,OLDER SINGLES/COUPLES,Mainstream
38,5,42.4,OLDER SINGLES/COUPLES,Mainstream
201,2,21.6,RETIREES,Budget
53,4,33.8,OLDER SINGLES/COUPLES,Mainstream
27,5,46.800000000000004,MIDAGE SINGLES/COUPLES,Budget
75,4,28.9,MIDAGE SINGLES/COUPLES,Mainstream
20,4,28.8,YOUNG FAMILIES,Budget
54,3,26.799999999999997,OLDER SINGLES/COUPLES,Mainstream
7,4,27.099999999999998,RETIREES,Premium
5,2,17.6,OLDER SINGLES/COUPLES,Mainstream
237,2,12.8,OLDER SINGLES/COUPLES,Mainstream
18,5,45.6,RETIREES,Budget
233,1,8.6,RETIREES,Mainstream
40,1,8.6,RETIREES,Budget
70,3,22.1,MIDAGE SINGLES/COUPLES,Mainstream
58,3,25.6,YOUNG SINGLES/COUPLES,Mainstream
191,1,11.4,OLDER FAMILIES,Budget
155,4,41.6,OLDER SINGLES/COUPLES,Mainstream
129,2,16.6,NEW FAMILIES,Premium
110,3,29.4,OLDER SINGLES/COUPLES,Mainstream
19,5,44.2,OLDER SINGLES/COUPLES,Mainstream
102,3,27.2,YOUNG FAMILIES,Budget
83,2,14.8,YOUNG SINGLES/COUPLES,Mainstream
78,3,25.2,YOUNG SINGLES/COUPLES,Budget
10,3,23.2,RETIREES,Mainstream
133,3,22.2,YOUNG SINGLES/COUPLES,Budget
112,3,26.5,RETIREES,Premium
130,2,14.100000000000001,RETIREES,Budget
191,1,10.2,OLDER SINGLES/COUPLES,Premium
116,3,30.2,OLDER SINGLES/COUPLES,Budget
58,3,24.2,NEW FAMILIES,Budget
38,5,46.8,YOUNG FAMILIES,Budget
122,2,23.8,OLDER FAMILIES,Mainstream
42,6,49.0,RETIREES,Budget
58,4,33.0,OLDER SINGLES/COUPLES,Premium
147,2,15.799999999999999,OLDER FAMILIES,Mainstream
98,2,18.8,YOUNG SINGLES/COUPLES,Budget
12,3,23.9,RETIREES,Mainstream
168,3,23.200000000000003,NEW FAMILIES,Mainstream
20,2,12.8,OLDER SINGLES/COUPLES,Mainstream
231,2,16.4,RETIREES,Budget
38,1,7.4,YOUNG FAMILIES,Budget
199,2,19.0,YOUNG SINGLES/COUPLES,Budget
39,1,7.6,MIDAGE SINGLES/COUPLES,Premium
121,1,7.4,NEW FAMILIES,Premium
46,2,15.8,RETIREES,Mainstream
170,1,8.6,MIDAGE SINGLES/COUPLES,Budget
59,1,8.4,YOUNG FAMILIES,Premium
23,5,44.6,OLDER SINGLES/COUPLES,Mainstream
86,5,39.599999999999994,OLDER FAMILIES,Mainstream
26,4,33.2,OLDER SINGLES/COUPLES,Mainstream
139,3,26.2,YOUNG FAMILIES,Budget
137,1,7.4,YOUNG SINGLES/COUPLES,Mainstream
73,2,15.0,NEW FAMILIES,Mainstream
2,7,55.4,OLDER SINGLES/COUPLES,Mainstream
206,1,8.6,RETIREES,Premium
194,3,19.8,YOUNG SINGLES/COUPLES,Mainstream
205,1,7.4,OLDER SINGLES/COUPLES,Premium
33,2,15.100000000000001,NEW FAMILIES,Premium
8,2,13.0,OLDER SINGLES/COUPLES,Budget
1,7,68.0,OLDER FAMILIES,Budget
79,1,9.2,RETIREES,Mainstream
202,2,14.8,OLDER SINGLES/COUPLES,Mainstream
44,4,41.2,MIDAGE SINGLES/COUPLES,Mainstream
39,1,9.2,MIDAGE SINGLES/COUPLES,Mainstream
59,5,34.2,OLDER SINGLES/COUPLES,Mainstream
132,1,10.8,YOUNG FAMILIES,Budget
20,6,52.7,OLDER SINGLES/COUPLES,Premium
54,5,39.5,MIDAGE SINGLES/COUPLES,Mainstream
31,3,28.2,YOUNG FAMILIES,Mainstream
134,3,24.0,RETIREES,Mainstream
132,4,33.8,OLDER SINGLES/COUPLES,Premium
181,1,11.4,YOUNG SINGLES/COUPLES,Budget
4,5,44.0,OLDER SINGLES/COUPLES,Premium
23,2,19.0,RETIREES,Mainstream
84,2,15.8,MIDAGE SINGLES/COUPLES,Mainstream
178,2,18.200000000000003,YOUNG FAMILIES,Budget
35,5,48.0,YOUNG SINGLES/COUPLES,Mainstream
77,4,34.6,YOUNG FAMILIES,Budget
16,2,12.799999999999999,OLDER SINGLES/COUPLES,Budget
141,3,25.2,OLDER SINGLES/COUPLES,Budget
182,2,11.100000000000001,YOUNG SINGLES/COUPLES,Budget
2,4,32.4,OLDER SINGLES/COUPLES,Premium
102,4,33.0,RETIREES,Budget
236,1,8.4,YOUNG SINGLES/COUPLES,Mainstream
79,2,18.4,OLDER FAMILIES,Budget
57,1,8.8,YOUNG SINGLES/COUPLES,Mainstream
114,2,15.0,OLDER FAMILIES,Budget
16,2,15.3,OLDER FAMILIES,Budget
14,6,60.400000000000006,OLDER FAMILIES,Budget
167,3,28.0,YOUNG SINGLES/COUPLES,Budget
63,2,17.799999999999997,OLDER FAMILIES,Budget
32,4,30.3,RETIREES,Budget
9,3,30.6,YOUNG FAMILIES,Budget
16,2,15.600000000000001,OLDER SINGLES/COUPLES,Premium
16,2,17.200000000000003,NEW FAMILIES,Budget
180,2,19.0,OLDER SINGLES/COUPLES,Mainstream
38,1,6.6,RETIREES,Budget
97,3,24.2,RETIREES,Mainstream
18,5,58.400000000000006,RETIREES,Budget
55,2,21.6,RETIREES,Premium
38,4,35.0,OLDER SINGLES/COUPLES,Mainstream
167,4,38.0,MIDAGE SINGLES/COUPLES,Mainstream
21,4,39.6,OLDER SINGLES/COUPLES,Premium
34,2,15.2,YOUNG SINGLES/COUPLES,Mainstream
125,3,19.7,RETIREES,Mainstream
74,2,12.600000000000001,OLDER SINGLES/COUPLES,Mainstream
110,6,52.6,YOUNG FAMILIES,Premium
28,5,43.1,OLDER FAMILIES,Mainstream
3,4,36.4,YOUNG SINGLES/COUPLES,Mainstream
33,4,34.6,RETIREES,Mainstream
195,3,22.4,RETIREES,Premium
43,1,7.2,RETIREES,Mainstream
183,4,30.5,OLDER FAMILIES,Budget
41,6,47.1,OLDER SINGLES/COUPLES,Budget
19,3,24.8,RETIREES,Premium
32,7,59.0,YOUNG FAMILIES,Mainstream
12,2,15.0,YOUNG SINGLES/COUPLES,Premium
33,5,36.8,YOUNG SINGLES/COUPLES,Budget
141,3,23.400000000000002,YOUNG SINGLES/COUPLES,Mainstream
73,3,19.4,OLDER FAMILIES,Mainstream
89,1,7.6,RETIREES,Premium
33,6,54.400000000000006,OLDER FAMILIES,Mainstream
113,4,28.0,RETIREES,Budget
53,4,36.8,MIDAGE SINGLES/COUPLES,Mainstream
4,5,44.8,RETIREES,Mainstream
9,4,39.4,OLDER SINGLES/COUPLES,Budget
36,1,7.4,RETIREES,Budget
115,5,42.0,MIDAGE SINGLES/COUPLES,Budget
46,3,26.6,YOUNG FAMILIES,Budget
56,4,28.1,RETIREES,Budget
23,4,36.2,YOUNG FAMILIES,Budget
6,3,25.2,OLDER SINGLES/COUPLES,Budget
31,2,16.0,MIDAGE SINGLES/COUPLES,Mainstream
81,1,7.6,OLDER SINGLES/COUPLES,Premium
7,6,56.9,OLDER FAMILIES,Budget
93,5,45.5,MIDAGE SINGLES/COUPLES,Mainstream
58,2,15.600000000000001,YOUNG SINGLES/COUPLES,Premium
8,2,18.8,YOUNG SINGLES/COUPLES,Premium
142,3,24.8,OLDER SINGLES/COUPLES,Mainstream
121,2,15.4,YOUNG SINGLES/COUPLES,Mainstream
9,3,24.599999999999998,RETIREES,Budget
201,1,9.2,MIDAGE SINGLES/COUPLES,Premium
11,1,8.4,OLDER SINGLES/COUPLES,Mainstream
128,5,44.5,RETIREES,Mainstream
141,1,7.8,OLDER SINGLES/COUPLES,Budget
80,4,34.1,RETIREES,Mainstream
42,3,22.6,NEW FAMILIES,Mainstream
96,1,6.6,YOUNG SINGLES/COUPLES,Mainstream
53,3,28.2,RETIREES,Budget
10,6,56.4,YOUNG SINGLES/COUPLES,Mainstream
55,2,16.200000000000003,MIDAGE SINGLES/COUPLES,Mainstream
148,3,27.0,OLDER SINGLES/COUPLES,Mainstream
100,4,32.4,YOUNG SINGLES/COUPLES,Budget
39,4,40.1,OLDER SINGLES/COUPLES,Premium
110,3,24.0,OLDER FAMILIES,Premium
160,2,17.4,OLDER FAMILIES,Premium
39,4,27.4,RETIREES,Premium
33,5,46.599999999999994,YOUNG SINGLES/COUPLES,Budget
58,4,36.2,RETIREES,Budget
131,2,11.600000000000001,RETIREES,Mainstream
213,1,8.8,YOUNG FAMILIES,Mainstream
7,2,19.2,MIDAGE SINGLES/COUPLES,Mainstream
72,3,24.6,YOUNG SINGLES/COUPLES,Budget
53,3,28.2,YOUNG SINGLES/COUPLES,Budget
22,4,31.2,MIDAGE SINGLES/COUPLES,Mainstream
144,3,21.4,NEW FAMILIES,Mainstream
132,4,30.0,MIDAGE SINGLES/COUPLES,Mainstream
39,5,39.7,YOUNG FAMILIES,Mainstream
67,2,13.100000000000001,OLDER SINGLES/COUPLES,Premium
191,2,18.0,RETIREES,Budget
30,4,36.8,YOUNG FAMILIES,Mainstream
93,3,30.0,RETIREES,Budget
76,3,22.6,YOUNG FAMILIES,Premium
31,3,28.8,MIDAGE SINGLES/COUPLES,Mainstream
32,3,23.3,OLDER SINGLES/COUPLES,Premium
28,6,41.3,RETIREES,Premium
36,4,36.6,OLDER SINGLES/COUPLES,Budget
3,5,35.45,RETIREES,Budget
32,6,51.9,OLDER FAMILIES,Budget
124,5,37.9,RETIREES,Mainstream
68,1,8.8,MIDAGE SINGLES/COUPLES,Premium
54,3,26.6,MIDAGE SINGLES/COUPLES,Mainstream
24,6,47.2,OLDER FAMILIES,Budget
171,1,8.8,YOUNG SINGLES/COUPLES,Premium
80,3,31.0,YOUNG SINGLES/COUPLES,Budget
76,4,31.6,RETIREES,Premium
55,5,37.199999999999996,YOUNG SINGLES/COUPLES,Premium
80,2,14.5,RETIREES,Mainstream
177,2,10.9,RETIREES,Premium
7,4,29.8,RETIREES,Mainstream
69,3,26.0,RETIREES,Mainstream
37,4,31.8,MIDAGE SINGLES/COUPLES,Mainstream
0,2,16.200000000000003,OLDER FAMILIES,Budget
12,4,35.8,OLDER FAMILIES,Budget
30,1,9.2,YOUNG SINGLES/COUPLES,Mainstream
46,8,68.0,OLDER SINGLES/COUPLES,Budget
152,1,6.6,YOUNG SINGLES/COUPLES,Mainstream
41,3,18.9,OLDER SINGLES/COUPLES,Mainstream
104,2,12.100000000000001,MIDAGE SINGLES/COUPLES,Mainstream
81,5,42.5,RETIREES,Mainstream
0,2,18.4,OLDER SINGLES/COUPLES,Mainstream
116,6,50.4,MIDAGE SINGLES/COUPLES,Budget
119,2,20.4,YOUNG FAMILIES,Budget
101,3,30.2,RETIREES,Premium
88,2,13.5,RETIREES,Mainstream
216,2,16.4,OLDER SINGLES/COUPLES,Mainstream
27,2,14.8,RETIREES,Budget
32,3,33.0,YOUNG FAMILIES,Mainstream
36,6,52.4,OLDER FAMILIES,Budget
121,3,32.0,RETIREES,Mainstream
40,4,32.8,YOUNG FAMILIES,Premium
30,1,6.6,OLDER SINGLES/COUPLES,Mainstream
1,5,41.4,OLDER SINGLES/COUPLES,Budget
47,1,7.4,OLDER FAMILIES,Premium
93,4,43.6,YOUNG SINGLES/COUPLES,Mainstream
46,4,28.8,RETIREES,Mainstream
44,4,29.0,NEW FAMILIES,Premium
58,3,32.6,RETIREES,Budget
208,1,6.6,RETIREES,Premium
141,2,11.0,YOUNG SINGLES/COUPLES,Mainstream
57,5,41.8,YOUNG SINGLES/COUPLES,Mainstream
25,5,35.2,OLDER SINGLES/COUPLES,Budget
170,1,7.4,RETIREES,Premium
89,2,19.0,YOUNG FAMILIES,Budget
161,1,9.2,YOUNG FAMILIES,Mainstream
33,5,42.2,OLDER SINGLES/COUPLES,Budget
103,2,19.0,MIDAGE SINGLES/COUPLES,Premium
86,4,34.0,OLDER SINGLES/COUPLES,Budget
11,3,24.4,RETIREES,Mainstream
45,4,39.0,OLDER FAMILIES,Premium
21,5,41.3,YOUNG FAMILIES,Mainstream
167,3,28.4,OLDER SINGLES/COUPLES,Premium
12,3,22.0,MIDAGE SINGLES/COUPLES,Premium
229,4,33.0,OLDER SINGLES/COUPLES,Premium
178,1,8.8,YOUNG SINGLES/COUPLES,Mainstream
177,1,9.2,YOUNG SINGLES/COUPLES,Budget
19,5,45.2,MIDAGE SINGLES/COUPLES,Premium
141,2,17.6,OLDER SINGLES/COUPLES,Premium
200,1,7.6,YOUNG SINGLES/COUPLES,Mainstream
31,2,16.4,RETIREES,Mainstream
80,3,27.0,YOUNG SINGLES/COUPLES,Mainstream
210,1,8.8,OLDER SINGLES/COUPLES,Premium
61,4,35.599999999999994,MIDAGE SINGLES/COUPLES,Mainstream
122,4,36.0,RETIREES,Premium
75,6,46.4,RETIREES,Budget
42,3,23.0,OLDER FAMILIES,Mainstream
28,4,28.1,YOUNG SINGLES/COUPLES,Budget
3,4,34.0,OLDER SINGLES/COUPLES,Budget
115,2,16.2,YOUNG SINGLES/COUPLES,Budget
97,5,47.0,RETIREES,Premium
117,1,7.6,OLDER FAMILIES,Budget
2,5,41.0,MIDAGE SINGLES/COUPLES,Premium
87,1,7.4,OLDER SINGLES/COUPLES,Budget
35,3,23.2,RETIREES,Budget
182,1,10.8,YOUNG SINGLES/COUPLES,Budget
80,2,15.4,OLDER FAMILIES,Mainstream
66,1,10.2,OLDER SINGLES/COUPLES,Premium
109,2,16.6,RETIREES,Mainstream
78,2,13.2,YOUNG SINGLES/COUPLES,Mainstream
71,3,28.200000000000003,RETIREES,Budget
139,1,4.4,YOUNG SINGLES/COUPLES,Premium
19,5,42.6,YOUNG SINGLES/COUPLES,Mainstream
119,3,25.0,MIDAGE SINGLES/COUPLES,Premium
66,5,44.6,RETIREES,Mainstream
40,3,22.4,OLDER FAMILIES,Premium
90,1,9.2,OLDER SINGLES/COUPLES,Budget
18,6,46.0,OLDER SINGLES/COUPLES,Mainstream
11,3,25.0,YOUNG SINGLES/COUPLES,Mainstream
131,7,58.8,YOUNG FAMILIES,Budget
6,7,58.6,OLDER FAMILIES,Budget
55,6,61.2,YOUNG FAMILIES,Budget
73,5,48.800000000000004,OLDER SINGLES/COUPLES,Premium
0,3,24.2,YOUNG SINGLES/COUPLES,Mainstream
9,6,51.800000000000004,OLDER FAMILIES,Premium
87,4,31.8,RETIREES,Budget
182,1,7.6,MIDAGE SINGLES/COUPLES,Budget
91,4,29.4,OLDER FAMILIES,Budget
86,1,8.8,YOUNG SINGLES/COUPLES,Mainstream
24,3,21.3,RETIREES,Mainstream
74,2,20.4,YOUNG FAMILIES,Mainstream
27,2,14.8,RETIREES,Budget
30,3,17.2,OLDER SINGLES/COUPLES,Mainstream
30,3,31.8,OLDER FAMILIES,Premium
33,4,30.1,OLDER SINGLES/COUPLES,Budget
107,1,3.6,OLDER SINGLES/COUPLES,Budget
202,1,8.4,OLDER SINGLES/COUPLES,Budget
0,2,17.0,YOUNG FAMILIES,Budget
35,3,34.6,OLDER FAMILIES,Mainstream
2,5,45.8,OLDER SINGLES/COUPLES,Mainstream
178,2,19.8,OLDER FAMILIES,Budget
18,1,7.6,MIDAGE SINGLES/COUPLES,Mainstream
26,2,19.200000000000003,YOUNG SINGLES/COUPLES,Budget
33,4,27.700000000000003,RETIREES,Budget
172,2,27.7,MIDAGE SINGLES/COUPLES,Mainstream
209,1,3.3,RETIREES,Mainstream
27,5,40.099999999999994,OLDER FAMILIES,Budget
42,3,25.6,NEW FAMILIES,Mainstream
174,1,4.3,RETIREES,Mainstream
42,1,6.6,OLDER SINGLES/COUPLES,Mainstream
80,4,30.2,MIDAGE SINGLES/COUPLES,Premium
39,3,24.200000000000003,RETIREES,Mainstream
17,3,28.4,RETIREES,Mainstream
102,1,10.8,YOUNG SINGLES/COUPLES,Budget
142,1,4.4,YOUNG FAMILIES,Budget
4,3,24.599999999999998,YOUNG SINGLES/COUPLES,Budget
106,2,18.4,RETIREES,Mainstream
4,5,43.8,OLDER SINGLES/COUPLES,Premium
60,3,26.799999999999997,OLDER SINGLES/COUPLES,Budget
17,3,24.2,RETIREES,Mainstream
2,4,31.4,OLDER SINGLES/COUPLES,Premium
31,3,28.0,YOUNG FAMILIES,Budget
35,7,55.6,OLDER FAMILIES,Premium
212,4,28.0,OLDER SINGLES/COUPLES,Budget
52,3,22.8,RETIREES,Mainstream
82,2,16.6,OLDER FAMILIES,Premium
61,3,25.4,MIDAGE SINGLES/COUPLES,Premium
84,2,19.4,OLDER FAMILIES,Mainstream
35,5,44.2,MIDAGE SINGLES/COUPLES,Mainstream
158,3,29.0,RETIREES,Mainstream
1,2,16.799999999999997,YOUNG SINGLES/COUPLES,Premium
36,3,21.6,OLDER SINGLES/COUPLES,Budget
153,1,10.8,OLDER SINGLES/COUPLES,Mainstream
46,1,9.2,RETIREES,Mainstream
57,1,8.4,MIDAGE SINGLES/COUPLES,Mainstream
118,1,10.2,OLDER FAMILIES,Mainstream
217,1,7.2,RETIREES,Budget
51,3,19.6,OLDER SINGLES/COUPLES,Mainstream
35,4,39.0,RETIREES,Budget
42,3,19.5,NEW FAMILIES,Budget
47,1,10.8,OLDER FAMILIES,Mainstream
69,4,29.3,OLDER SINGLES/COUPLES,Mainstream
8,5,39.2,RETIREES,Budget
153,1,7.6,RETIREES,Budget
21,3,29.2,RETIREES,Mainstream
76,4,36.0,OLDER SINGLES/COUPLES,Premium
53,4,24.3,RETIREES,Mainstream
43,2,13.200000000000001,YOUNG SINGLES/COUPLES,Premium
86,2,16.200000000000003,RETIREES,Mainstream
12,4,30.200000000000003,OLDER SINGLES/COUPLES,Premium
61,2,17.799999999999997,YOUNG SINGLES/COUPLES,Mainstream
129,4,31.0,MIDAGE SINGLES/COUPLES,Premium
164,3,26.4,RETIREES,Budget
26,3,19.4,YOUNG SINGLES/COUPLES,Mainstream
109,4,36.400000000000006,RETIREES,Premium
73,3,27.2,YOUNG SINGLES/COUPLES,Mainstream
86,3,26.6,OLDER SINGLES/COUPLES,Mainstream
22,3,21.5,OLDER SINGLES/COUPLES,Mainstream
83,5,43.300000000000004,YOUNG FAMILIES,Mainstream
176,1,7.8,MIDAGE SINGLES/COUPLES,Budget
12,2,14.0,OLDER SINGLES/COUPLES,Mainstream
47,3,21.5,RETIREES,Mainstream
122,2,16.4,YOUNG SINGLES/COUPLES,Premium
88,2,23.2,YOUNG SINGLES/COUPLES,Budget
61,4,35.2,OLDER SINGLES/COUPLES,Budget
43,3,20.0,OLDER FAMILIES,Budget
3,3,26.799999999999997,RETIREES,Mainstream
50,4,31.5,RETIREES,Premium
34,5,43.8,OLDER SINGLES/COUPLES,Budget
61,3,19.4,OLDER FAMILIES,Mainstream
48,3,15.4,YOUNG SINGLES/COUPLES,Mainstream
120,1,11.4,YOUNG SINGLES/COUPLES,Budget
236,2,17.6,RETIREES,Budget
164,2,14.8,RETIREES,Mainstream
96,4,36.1,YOUNG FAMILIES,Budget
55,3,27.6,OLDER SINGLES/COUPLES,Premium
79,5,47.6,OLDER FAMILIES,Mainstream
65,3,22.799999999999997,YOUNG SINGLES/COUPLES,Mainstream
169,3,30.0,OLDER SINGLES/COUPLES,Premium
126,3,25.9,RETIREES,Mainstream
28,4,40.6,RETIREES,Mainstream
83,3,27.2,OLDER SINGLES/COUPLES,Budget
240,1,9.2,RETIREES,Mainstream
246,4,32.2,NEW FAMILIES,Premium
11,6,52.3,YOUNG FAMILIES,Mainstream
220,2,18.200000000000003,YOUNG FAMILIES,Premium
23,3,25.0,RETIREES,Mainstream
29,3,30.8,MIDAGE SINGLES/COUPLES,Mainstream
9,5,40.5,YOUNG FAMILIES,Budget
23,8,66.4,OLDER FAMILIES,Budget
73,1,7.8,OLDER SINGLES/COUPLES,Premium
28,7,60.599999999999994,YOUNG SINGLES/COUPLES,Budget
29,7,65.4,YOUNG FAMILIES,Mainstream
87,3,24.9,YOUNG SINGLES/COUPLES,Premium
4,3,24.7,NEW FAMILIES,Mainstream
180,2,13.399999999999999,MIDAGE SINGLES/COUPLES,Premium
20,3,22.0,RETIREES,Mainstream
13,4,29.299999999999997,OLDER FAMILIES,Mainstream
217,2,15.799999999999999,RETIREES,Mainstream
7,3,26.0,OLDER SINGLES/COUPLES,Budget
81,5,43.4,RETIREES,Budget
67,3,25.4,OLDER FAMILIES,Budget
72,2,13.8,OLDER FAMILIES,Mainstream
62,1,10.2,OLDER FAMILIES,Budget
91,3,21.4,RETIREES,Premium
131,3,25.7,RETIREES,Premium
108,3,28.6,RETIREES,Mainstream
133,1,7.8,OLDER SINGLES/COUPLES,Mainstream
27,3,27.4,OLDER FAMILIES,Premium
43,3,26.8,OLDER FAMILIES,Mainstream
51,2,15.0,NEW FAMILIES,Premium
76,2,19.0,OLDER FAMILIES,Mainstream
6,3,24.4,RETIREES,Premium
37,1,10.8,RETIREES,Mainstream
1,2,18.0,NEW FAMILIES,Budget
81,3,27.200000000000003,MIDAGE SINGLES/COUPLES,Premium
180,2,16.200000000000003,RETIREES,Budget
85,1,7.4,YOUNG SINGLES/COUPLES,Budget
81,4,32.4,OLDER SINGLES/COUPLES,Premium
66,3,26.799999999999997,OLDER SINGLES/COUPLES,Premium
45,3,22.099999999999998,OLDER FAMILIES,Budget
45,3,25.7,YOUNG SINGLES/COUPLES,Mainstream
187,2,14.600000000000001,YOUNG FAMILIES,Budget
119,2,14.8,YOUNG FAMILIES,Budget
149,2,16.0,OLDER SINGLES/COUPLES,Mainstream
54,3,26.2,OLDER SINGLES/COUPLES,Budget
21,5,41.199999999999996,YOUNG SINGLES/COUPLES,Budget
4,4,24.700000000000003,RETIREES,Mainstream
43,3,23.8,OLDER SINGLES/COUPLES,Mainstream
13,2,16.4,YOUNG SINGLES/COUPLES,Mainstream
245,1,7.4,OLDER FAMILIES,Budget
228,1,5.4,YOUNG SINGLES/COUPLES,Premium
28,4,35.6,OLDER FAMILIES,Budget
113,2,14.8,NEW FAMILIES,Budget
116,2,17.200000000000003,OLDER SINGLES/COUPLES,Mainstream
161,1,7.4,OLDER SINGLES/COUPLES,Budget
117,2,16.6,OLDER FAMILIES,Premium
60,1,6.6,MIDAGE SINGLES/COUPLES,Mainstream
171,3,22.200000000000003,YOUNG FAMILIES,Mainstream
188,1,3.7,YOUNG SINGLES/COUPLES,Mainstream
48,1,9.2,OLDER SINGLES/COUPLES,Premium
19,4,36.4,RETIREES,Premium
64,2,15.8,YOUNG SINGLES/COUPLES,Budget
8,3,25.6,YOUNG SINGLES/COUPLES,Premium
67,5,46.4,OLDER SINGLES/COUPLES,Budget
109,5,39.3,OLDER SINGLES/COUPLES,Budget
13,4,40.0,YOUNG FAMILIES,Mainstream
12,5,37.2,RETIREES,Mainstream
115,2,15.200000000000001,YOUNG SINGLES/COUPLES,Premium
96,2,11.600000000000001,MIDAGE SINGLES/COUPLES,Budget
14,5,40.8,RETIREES,Mainstream
12,4,32.2,RETIREES,Premium
158,4,28.3,RETIREES,Mainstream
130,3,29.8,YOUNG FAMILIES,Premium
78,2,11.7,OLDER SINGLES/COUPLES,Mainstream
43,4,35.4,YOUNG FAMILIES,Mainstream
27,4,38.0,MIDAGE SINGLES/COUPLES,Mainstream
61,4,33.0,MIDAGE SINGLES/COUPLES,Budget
141,2,18.0,YOUNG SINGLES/COUPLES,Mainstream
53,6,47.6,RETIREES,Premium
129,1,9.2,NEW FAMILIES,Mainstream
3,7,62.4,OLDER FAMILIES,Mainstream
20,1,7.4,OLDER FAMILIES,Mainstream
52,3,24.4,OLDER SINGLES/COUPLES,Premium
32,4,29.300000000000004,NEW FAMILIES,Mainstream
99,3,24.2,RETIREES,Budget
14,2,18.4,RETIREES,Premium
81,3,29.4,MIDAGE SINGLES/COUPLES,Premium
70,4,36.400000000000006,YOUNG FAMILIES,Budget
99,1,3.6,YOUNG FAMILIES,Premium
99,3,21.7,RETIREES,Premium
12,4,38.2,OLDER SINGLES/COUPLES,Budget
91,6,50.4,OLDER FAMILIES,Mainstream
29,1,9.2,MIDAGE SINGLES/COUPLES,Mainstream
144,4,31.8,RETIREES,Budget
90,3,24.2,RETIREES,Budget
135,4,39.8,RETIREES,Mainstream
45,5,33.9,MIDAGE SINGLES/COUPLES,Mainstream
55,2,12.5,MIDAGE SINGLES/COUPLES,Premium
73,4,36.2,RETIREES,Budget
91,3,27.799999999999997,YOUNG SINGLES/COUPLES,Premium
119,2,18.4,YOUNG SINGLES/COUPLES,Mainstream
166,2,15.0,OLDER SINGLES/COUPLES,Premium
39,1,9.2,OLDER SINGLES/COUPLES,Mainstream
91,2,15.399999999999999,YOUNG SINGLES/COUPLES,Mainstream
33,4,28.5,OLDER SINGLES/COUPLES,Budget
40,4,34.8,OLDER SINGLES/COUPLES,Mainstream
65,5,36.0,YOUNG SINGLES/COUPLES,Mainstream
25,1,3.8,YOUNG SINGLES/COUPLES,Mainstream
4,3,26.8,OLDER SINGLES/COUPLES,Premium
103,4,35.6,OLDER FAMILIES,Premium
24,2,21.6,YOUNG SINGLES/COUPLES,Budget
0,4,36.4,OLDER SINGLES/COUPLES,Premium
242,1,8.8,RETIREES,Budget
0,7,60.5,YOUNG FAMILIES,Mainstream
160,2,10.899999999999999,YOUNG FAMILIES,Mainstream
19,2,18.4,MIDAGE SINGLES/COUPLES,Mainstream
89,4,39.8,OLDER SINGLES/COUPLES,Mainstream
67,1,11.4,OLDER FAMILIES,Premium
21,8,73.0,YOUNG FAMILIES,Mainstream
20,3,26.0,RETIREES,Mainstream
218,1,9.2,OLDER SINGLES/COUPLES,Mainstream
151,3,29.0,RETIREES,Budget
81,3,29.2,OLDER SINGLES/COUPLES,Mainstream
133,3,27.0,YOUNG FAMILIES,Budget
157,2,15.799999999999999,YOUNG SINGLES/COUPLES,Budget
102,5,46.8,MIDAGE SINGLES/COUPLES,Mainstream
25,2,20.0,MIDAGE SINGLES/COUPLES,Premium
32,7,57.0,OLDER SINGLES/COUPLES,Premium
6,4,34.0,YOUNG FAMILIES,Budget
68,2,19.200000000000003,YOUNG SINGLES/COUPLES,Premium
122,2,17.4,YOUNG FAMILIES,Budget
43,2,21.4,OLDER FAMILIES,Budget
171,2,26.0,YOUNG SINGLES/COUPLES,Premium
84,3,24.0,OLDER SINGLES/COUPLES,Premium
16,1,7.6,YOUNG FAMILIES,Budget
264,1,4.4,RETIREES,Mainstream
26,6,54.4,OLDER FAMILIES,Budget
6,4,31.4,OLDER SINGLES/COUPLES,Premium
39,4,31.900000000000002,OLDER SINGLES/COUPLES,Mainstream
28,5,42.8,MIDAGE SINGLES/COUPLES,Mainstream
171,2,12.2,OLDER FAMILIES,Mainstream
97,2,17.799999999999997,YOUNG SINGLES/COUPLES,Mainstream
67,1,11.4,OLDER FAMILIES,Budget
4,8,59.6,YOUNG FAMILIES,Premium
86,5,41.5,OLDER FAMILIES,Budget
9,5,42.6,YOUNG SINGLES/COUPLES,Mainstream
0,4,29.8,OLDER FAMILIES,Mainstream
127,1,11.4,YOUNG SINGLES/COUPLES,Mainstream
57,2,14.100000000000001,RETIREES,Budget
23,2,21.6,RETIREES,Premium
140,3,23.2,YOUNG SINGLES/COUPLES,Mainstream
133,3,26.2,YOUNG SINGLES/COUPLES,Mainstream
136,2,21.0,OLDER FAMILIES,Mainstream
54,6,52.4,RETIREES,Mainstream
9,3,27.0,RETIREES,Mainstream
118,2,14.2,MIDAGE SINGLES/COUPLES,Mainstream
57,3,24.0,OLDER SINGLES/COUPLES,Mainstream
79,4,28.7,NEW FAMILIES,Budget
67,1,9.2,YOUNG SINGLES/COUPLES,Budget
59,4,27.200000000000003,OLDER SINGLES/COUPLES,Budget
